1,0,0,0,2,-6,8,2,
2,2,0,0,-2,0,0,2,
3,0,-6,8,2,-12,16,2,
4,0,-6,8,2,-3,8,2,
5,0,-12,16,2,-21,18,2,
6,0,-12,16,2,-5,46,2,
7,0,-3,8,2,-5,46,2,
8,0,-3,8,2,0,8,2,
9,2,-5,46,2,-5,46,-2,
10,0,-21,18,2,-31,8,2,
11,2,-21,18,2,-21,18,-2,
12,0,0,8,2,10,18,2,
13,0,0,8,2,-2,-3,2,
14,0,-31,8,2,-31,-19,2,
15,2,-31,8,2,-31,8,-2,
16,0,10,18,2,21,8,2,
17,2,10,18,2,10,18,-2,
18,0,-2,-3,2,12,-4,2,
19,0,-2,-3,2,-5,-15,2,
20,0,-31,-19,2,-31,-45,2,
21,2,-31,-19,2,-31,-19,-2,
22,0,21,8,2,21,-19,2,
23,2,21,8,2,21,8,-2,
24,2,12,-4,2,12,-4,-2,
25,0,-5,-15,2,1,-15,2,
26,0,-5,-15,2,-5,-17,2,
27,2,-31,-45,2,-31,-45,-2,
28,0,21,-19,2,21,-45,2,
29,2,21,-19,2,21,-19,-2,
30,2,1,-15,2,1,-15,-2,
31,0,-5,-17,2,-5,-21,2,
32,0,-5,-17,2,-14,-17,2,
33,2,21,-45,2,21,-45,-2,
34,0,-5,-21,2,-5,-25,2,
35,0,-5,-21,2,-15,-21,2,
36,2,-14,-17,2,-14,-17,-2,
37,0,-5,-25,2,3,-25,2,
38,0,-5,-25,2,-5,-30,2,
39,2,-15,-21,2,-15,-21,-2,
40,2,3,-25,2,3,-25,-2,
41,0,-5,-30,2,0,-34,2,
42,0,-5,-30,2,-10,-34,2,
43,0,0,-34,2,14,-28,2,
44,0,0,-34,2,14,-43,2,
45,0,-10,-34,2,-23,-28,2,
46,0,-10,-34,2,-23,-43,2,
47,2,14,-28,2,14,-28,-2,
48,0,14,-43,2,14,-80,2,
49,2,14,-43,2,14,-43,-2,
50,0,-23,-43,2,-23,-80,2,
51,2,-23,-28,2,-23,-28,-2,
52,2,-23,-43,2,-23,-43,-2,
53,0,14,-80,2,14,-136,2,
54,2,14,-80,2,14,-80,-2,
55,0,-23,-80,2,-23,-136,2,
56,2,-23,-80,2,-23,-80,-2,
57,0,-4,4,2,-15,4,2,
58,2,-4,4,-2,-4,4,2,
59,2,14,-136,2,14,-136,-2,
60,2,-23,-136,2,-23,-136,-2,
61,2,-15,4,2,-15,4,-2,
62,1,14,-136,-2,14,-80,-2,
63,1,-23,-136,-2,-23,-80,-2,
64,1,22,-45,-2,22,-19,-2,
65,1,-32,-45,-2,-32,-19,-2,
66,1,14,-80,-2,14,-43,-2,
67,1,-23,-80,-2,-23,-43,-2,
68,1,22,-19,-2,22,8,-2,
69,1,-32,-19,-2,-32,8,-2,
70,1,14,-29,-2,0,-34,-2,
71,1,14,-43,-2,0,-34,-2,
72,1,-23,-29,-2,-10,-34,-2,
73,1,-23,-43,-2,-10,-34,-2,
74,1,22,8,-2,10,18,-2,
75,1,-32,8,-2,-21,18,-2,
76,1,1,-15,-2,-8,-19,-2,
77,1,-15,-21,-2,-8,-19,-2,
78,1,0,-34,-2,-5,-29,-2,
79,1,-10,-34,-2,-5,-29,-2,
80,1,10,18,-2,2,15,-2,
81,1,-5,46,-2,2,15,-2,
82,1,-21,18,-2,-12,16,-2,
83,1,-5,46,-2,-12,16,-2,
84,1,-8,-19,-2,-14,-17,-2,
85,1,-5,-29,-2,-5,-25,-2,
86,1,3,-25,-2,-5,-25,-2,
87,1,12,-4,-2,-5,8,-2,
88,1,2,15,-2,-5,8,-2,
89,1,-12,16,-2,-5,8,-2,
90,1,-14,-17,-2,-5,-17,-2,
91,1,-5,-25,-2,-5,-17,-2,
92,1,-5,8,-2,-4,4,-2,
93,1,-5,-17,-2,-4,4,-2,
94,1,-15,4,-2,0,0,-2,
95,1,0,0,2,-4,4,2
